Date,Open,High,Low,Close,Volume,OpenInt,Rolling_Std,Year,Month
2002-07-23,0.0,0.0,0.0,0.0,0.06270112481304993,0,0.0027970139873728095,2002,7
2002-07-25,0.022119851497657772,0.03991321118611374,0.02388965301961704,0.04420910753826901,0.10560556184501,0,0.0019647295718713542,2002,7
2002-07-29,0.06133496608159855,0.0599517839922854,0.058138967740676784,0.06029652450178108,0.06943398664063571,0,0.002144204745947259,2002,7
2002-07-30,0.05643672128598365,0.06726133076181295,0.05618799566884203,0.06432078559738136,0.10014987288489507,0,0.013860648964636818,2002,7
2002-07-31,0.060217311019107045,0.07047251687560269,0.061836059816803735,0.0718109174930201,0.09911959455802827,0,0.03732329565147277,2002,7
2002-08-01,0.06806033393589522,0.06662487945998069,0.05583682069591178,0.05856358910176185,0.04405898378613755,0,0.047627372030555365,2002,8
2002-08-02,0.049808540828425396,0.06085824493731917,0.05583682069591178,0.06605372099740059,0.040119698102016786,0,0.06028842653763819,2002,8
2002-08-05,0.06640814819134255,0.06533269045323042,0.06278228127164359,0.06194281313179939,0.05582772782883897,0,0.06866255728092599,2002,8
2002-08-06,0.06595136742667213,0.0686403085824493,0.0681474544691893,0.07052084336189468,0.04966295024038785,0,0.08383273487834861,2002,8
2002-08-07,0.066320679534278,0.0734715525554484,0.0704496015139543,0.07864638490420717,0.027815168662521365,0,0.09559638468240902,2002,8
2002-08-08,0.07452329581899819,0.08821600771456117,0.08007764868845901,0.09218253586213537,0.058901905052977925,0,0.11160225227999801,2002,8
2002-08-09,0.086253814605322,0.09194792671166824,0.08570620311570237,0.09009338596322325,0.05055339725949406,0,0.12246519340095033,2002,8
2002-08-12,0.08530137811728578,0.08512054001928637,0.08498434344912353,0.0872436699720805,0.04227073843756187,0,0.11945509049413275,2002,8
2002-08-13,0.08209419402491891,0.08054966248794598,0.06923999882941678,0.06752671608741695,0.12452775651459047,0,0.10481091544109486,2002,8
2002-08-14,0.05672828347619879,0.059026036644165836,0.06001190092963821,0.06239530181958214,0.10618263970852523,0,0.0920795844586065,2002,8
2002-08-15,0.05874006258868347,0.06498553519768557,0.06480153736599259,0.06788293058630979,0.09202378133261427,0,0.07741103452293771,2002,8
2002-08-16,0.059488405543569156,0.06085824493731917,0.061387336240281754,0.06166361798401848,0.07170069280625793,0,0.057233835214002576,2002,8
2002-08-19,0.05578556572783644,0.059026036644165836,0.059065679474798294,0.06285741792625399,0.047413136447515235,0,0.022378096000589903,2002,8
2003-03-25,0.17578284448072773,0.17871745419479268,0.1784944348521651,0.18025416385866955,0.06526415135065469,0,0.007394574316692909,2003,3
2003-03-26,0.17753221762201882,0.17524590163934428,0.1736852886950923,0.17220564166746893,0.0918920051840815,0,0.009681662220519555,2003,3
2003-03-27,0.16940735125468925,0.17111861137897777,0.16969555080819015,0.17321652065081355,0.04966295024038785,0,0.011604870661311245,2003,3
2003-03-28,0.1704278189204424,0.1809064609450337,0.1758801322759065,0.18353711369981707,0.06115171884585053,0,0.015755502681994132,2003,3
2003-03-31,0.17863043520516264,0.1770684667309546,0.1784944348521651,0.1759603350341773,0.03880936613248188,0,0.009243829170580531,2003,3
2003-04-01,0.17476237681497464,0.17964320154291225,0.17893340356832793,0.1844613459131607,0.03896593340213326,0,0.0034008449746799896,2003,4
2003-10-29,0.3029525531129123,0.30243972999035684,0.30992166847131586,0.3068643496678541,0.06693696548544142,0,0.01153656021626484,2003,10
2003-10-30,0.3053433630726767,0.3049083895853423,0.3072195721518246,0.3047848271878309,0.1464169087646076,0,0.020873188228068024,2003,10
2003-10-31,0.30433261414659746,0.3125072324011572,0.3110337225522617,0.31464330413016267,0.12195651840689911,0,0.03680448380065382,2003,10
2003-11-03,0.31909537971115903,0.3201928640308582,0.3173256074839289,0.32184461345913157,0.11774101114615063,0,0.0584393020305812,2003,11
2003-11-04,0.3204657220051704,0.3207425265188042,0.3241930291767874,0.32394339077693274,0.06378958797938755,0,0.07426796605657746,2003,11
2003-11-05,0.3225844072540673,0.32055930568948887,0.32454420414971763,0.3238567440069317,0.03163096797362538,0,0.08425787300749907,2003,11
2003-11-06,0.32296343810134703,0.32650916104146577,0.3253831221406066,0.3285356695869837,0.03186175219577384,0,0.09191503021079409,2003,11
2003-11-07,0.3272202460784885,0.3259594985535198,0.3299093773472632,0.32622508905362474,0.029908728007460174,0,0.08903716785889362,2003,11
2003-11-10,0.3248877485567672,0.32349083895853425,0.3262122852711363,0.32093000866467697,0.03084007646614064,0,0.07086973692568146,2003,11
2003-11-11,0.3195424417361556,0.31615236258437796,0.31261400993044786,0.3088957350534321,0.07966998247259915,0,0.044641677315349515,2003,11
2003-11-12,0.30802573522265636,0.3135390549662488,0.31011676567849933,0.31784923462019826,0.08212602398278979,0,0.02786631410370144,2003,11
2003-11-13,0.3161506015899858,0.3162391513982642,0.3179694282676344,0.31729084432463656,0.057978768164384055,0,0.010847777697973016,2003,11
2004-01-22,0.4145528407876066,0.42048216007714556,0.4198004155570513,0.4151343024935014,0.03105428113725709,0,0.008625315114199894,2004,1
2004-01-23,0.4169533694870448,0.41589199614271943,0.4179372372284491,0.4136709348223741,0.04934199515814545,0,0.010988595983844829,2004,1
2004-01-26,0.41409606002293614,0.43055930568948897,0.42147825153882923,0.4351497063637239,0.032430383872914297,0,0.03298807581580976,2004,1
2004-01-27,0.43761541003362686,0.43422372227579553,0.42841395725420184,0.4214402618657937,0.059487116281150394,0,0.03745504680064343,2004,1
2004-01-28,0.42329970649406184,0.42478302796528444,0.4075092915044921,0.4013478386444595,0.044001424590101874,0,0.037922614184897147,2004,1
2004-01-29,0.40271541586487064,0.41729026036644157,0.4100553100582366,0.41887936844132095,0.044817341834993425,0,0.0442146366689225,2004,1
2004-01-30,0.4182362431239917,0.426711668273867,0.413332943138919,0.4305863098103398,0.0836012129974921,0,0.05423938792147612,2004,1
2004-02-02,0.43410694501137087,0.438784956605593,0.43692995034776083,0.4364205256570713,0.060014533696999,0,0.06292316062486045,2004,2
2004-02-03,0.43844150290590306,0.4395081967213115,0.44109527572112806,0.4436218349860402,0.02853239065551478,0,0.06849795053579935,2004,2
2004-02-04,0.4410947188368613,0.4433461909353905,0.4446167803107899,0.4429094059882545,0.035010224577839276,0,0.06462896611686239,2004,2
2004-02-05,0.4425816860069585,0.43823529411764695,0.4324817340239775,0.4291999614903244,0.04345742762322125,0,0.053118808481354335,2004,2
2004-02-06,0.43344607071354985,0.45112825458052075,0.43683240174416904,0.45568499085395203,0.04431471554026344,0,0.06370136981544475,2004,2
2004-02-09,0.4555756409508815,0.4546287367405978,0.44664579126549797,0.4433618946760373,0.05506147103161408,0,0.05816670083069411,2004,2
2004-02-10,0.441289093630338,0.44500482160077137,0.4409001785139446,0.4396072013093289,0.11760509010985987,0,0.046275020622377594,2004,2
2004-02-11,0.4393453456955701,0.44793635486981676,0.44238291728853907,0.451131221719457,0.055910156351422664,0,0.02611948194004199,2004,2
2004-03-24,0.40165607324042213,0.39867888138862106,0.39138450733077756,0.38938095696543756,0.08191166290081456,0,0.0014483142695364548,2004,3
2004-03-25,0.3897311796606217,0.39322082931533264,0.39138450733077756,0.397785693655531,0.042303662923337725,0,0.016173736143156897,2004,3
2004-03-26,0.3971271405524132,0.3931340405014465,0.3904480407362969,0.3903629536921151,0.03177126851396233,0,0.034271312996524306,2004,3
2004-03-29,0.3897311796606217,0.39762777242044356,0.391852740628018,0.3981322807355348,0.05742655962741682,0,0.040324622938056276,2004,3
2004-03-30,0.3976616712344742,0.39625843780135006,0.40118814199174735,0.39968229517666315,0.021419919673639355,0,0.04706859419397738,2004,3
